Goods Barcode,Goods Name
910031470210,Classic Ceramic Mug -- 200123CERAMV1Standard
910031470224,Stainless Steel Water Bottle -- 200234STNWBV1Standard
910031470238,Cotton Bath Towel -- 300456CTNTLV1Standard
910031470242,Wooden Serving Tray -- 400789WDTRAYV1Standard
910031470256,Silicone Baking Mat -- 500456SLBMATV1Standard
910031470260,Glass Food Storage Containers (Set of 3) -- 600123GLSCV1Set of 3
910031470274,LED Desk Lamp -- 700987LEDLMPV1Standard
910031470288,Bamboo Cutlery Set -- 800123BMCTRYV1Standard
910031470292,Smart Power Strip -- 900456SMSTRPV1Standard
910031470306,Non-Stick Frying Pan -- 100234NSFRYPV1Standard
910031470310,Heavy-Duty Laundry Basket -- 200123HDLBASKV1Standard
910031470324,Ergonomic Memory Foam Pillow -- 300789MFPLLWV1Standard
910031470338,Adjustable Laptop Stand -- 400123ADLSTNDV1Standard
910031470342,Vacuum Insulated Thermos -- 500456VCTHMSV1Standard
910031470356,Magnetic Knife Holder -- 600123MGKNHV1Standard
910031470360,Indoor Plant Pot -- 700234PLTPOTV1Standard
910031470374,Compact Steam Iron -- 800456STIRNV1Standard
910031470388,Travel Blanket -- 900123TRLBLNV1Standard
910031470392,Wall-Mounted Hooks (Set of 5) -- 100234WMHOOKV1Set of 5
910031470406,Portable Hand Vacuum -- 200789PTHDVACV1Standard
910031470410,Foldable Storage Bin -- 300123FLSTGV1Standard
910031470424,Ceramic Dish Set (Set of 4) -- 400456CRDSHV1Set of 4
910031470438,Microfiber Cleaning Cloth -- 500123MFCLTHV1Standard
910031470442,Adjustable Shower Head -- 600789ADSHHDV1Standard
910031470456,Kitchen Scale -- 700123KSCALV1Standard
